model_name,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix,training_time,cv_scores,cv_mean,cv_std
Logistic Regression,0.7392307692307692,0.7665198237885462,0.8456865127582017,0.804159445407279,0.805668274019222,"[[265, 212], [127, 696]]",0.005179882049560547,"[0.7484615384615385, 0.7330769230769231, 0.74364896073903, 0.7390300230946882, 0.7390300230946882]",0.7406494936933736,0.005150029937756361
Random Forest,0.8076923076923077,0.823728813559322,0.8857837181044957,0.8536299765807962,0.8809107142402266,"[[321, 156], [94, 729]]",0.08556914329528809,"[0.8246153846153846, 0.8184615384615385, 0.7990762124711316, 0.7929176289453426, 0.815242494226328]",0.8100626517439451,0.012031689448490278
XGBoost,0.8138461538461539,0.8342922899884925,0.8809234507897934,0.8569739952718676,0.8769827623538162,"[[333, 144], [98, 725]]",0.20824503898620605,"[0.8092307692307692, 0.81, 0.8137028483448807, 0.7975365665896844, 0.8113933795227097]",0.8083727127376088,0.005627453447830412
